"sparse","N","T0","gamma","Measure","OLS","LSDV","EBMLE","URE","AH","GMM1","GMM2","LASSO","RIDGE","ELASTIC_NET"
0.1,100,10,0.2,"MSE",1.64885,1.14235,1.12874,1.12924,2.00839,1.99892,2.00584,1.27437,1.25954,1.27377
0.1,100,10,0.8,"Bias",-0.02813,0.02486,0.02279,0.02676,-0.00488,-0.00243,-0.0027,-0.03429,-0.03425,-0.03433
0.1,100,10,0.8,"Var",29.64964,28.6513,27.76829,28.22515,32.23719,30.90125,30.78284,29.64194,29.67971,29.64239
0.1,100,10,0.8,"MSE",1.14157,1.19618,1.19802,1.19596,2.55817,1.57562,1.54234,1.1401,1.14206,1.14003
0.1,100,20,0.2,"Bias",-0.04113,0.00332,0.00348,0.00319,-0.00177,-0.00172,-0.0018,-0.00741,0.00136,-0.00716
0.1,100,20,0.2,"Var",6.2374,7.3705,7.19385,7.22387,8.75583,8.73093,8.72917,6.93128,6.83467,6.9255
0.1,100,20,0.2,"MSE",1.75639,1.06545,1.06272,1.06289,1.99721,1.98661,1.98765,1.1323,1.12181,1.13163
0.1,100,20,0.8,"Bias",-0.02125,0.01202,0.01371,0.01027,-0.00172,-0.00002,-0.00005,-0.01128,-0.01127,-0.01129
0.1,100,20,0.8,"Var",33.67297,33.13117,32.65543,32.84297,36.04193,35.74342,35.74256,33.67787,33.69564,33.67787
0.1,100,20,0.8,"MSE",1.13274,1.09845,1.09855,1.09775,2.02011,1.85289,1.85274,1.1194,1.12202,1.11945
0.1,100,30,0.2,"Bias",0.02257,-0.00178,-0.00173,-0.00182,0.00031,0.00024,0.0015,0.03657,0.03855,0.03688
0.1,100,30,0.2,"Var",5.30232,6.13935,6.04923,6.0569,7.52172,7.50893,7.40817,5.82671,5.76,5.82205
0.1,100,30,0.2,"MSE",1.7882,1.04552,1.04425,1.0444,2.00432,1.99583,1.96974,1.10596,1.10807,1.1062
